raw_wcvp,group,n_species_peru,rule
subshrub or perennial,shrub,1,rule 7 first term subshrub
subshrub or tuberous geophyte,geophyte,1,rule 6 geophyte
succulent annual or subshrub,succulent,1,rule 5 succulent
succulent lithophyte,epiphyte,1,rule 2 epiphyte/lithophyte
tuberous geophyte or epiphyte,epiphyte,1,rule 2 epiphyte/lithophyte
tuberous geophyte or helophyte,aquatic,1,rule 4 aquatic
tuberous geophyte or lithophyte,epiphyte,1,rule 2 epiphyte/lithophyte
tuberous hydrogeophyte,aquatic,1,rule 4 aquatic
tuberous lithophyte,epiphyte,1,rule 2 epiphyte/lithophyte
tuberous lithophyte or epiphyte,epiphyte,1,rule 2 epiphyte/lithophyte
tuberous perennial,herb,1,rule 7 first term perennial
tuberous shrub or tree,shrub,1,rule 7 first term shrub
